Date,Usage,Temperature,Event_Start,Event_End,Attendance,Total_sq_ft,Hall_A,Meeting_Room_A,Main_Room,Hall_B,Meeting_Room_B,Hall_C,Meeting_Room_C,Hall_D,Meeting_Room_D,Terrace,Parking
2/23/18,90435.749,44.41666667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/18,84714.654,43.33333333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/18,91438.997,46.9375,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/18,120188.195,49.77083333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/18,125068.209,47.41666667,2/27/18,3/1/18,4000,512128,0,0,0,0,0,1,1,0,0,0,0
2/27/18,125068.209,47.41666667,2/27/18,3/1/18,20000,1185395,0,1,1,1,1,0,0,0,0,0,1
2/28/18,147816.909,50.25,2/28/18,3/1/18,3000,185288,0,0,0,0,0,1,1,0,0,0,0
2/28/18,147816.909,50.25,2/27/18,3/1/18,4000,512128,0,0,0,0,0,1,1,0,0,0,0
2/28/18,147816.909,50.25,2/27/18,3/1/18,20000,1185395,0,1,1,1,1,0,0,0,0,0,1
3/1/18,132108.356,55.79166667,2/28/18,3/1/18,3000,185288,0,0,0,0,0,1,1,0,0,0,0
3/1/18,132108.356,55.79166667,2/27/18,3/1/18,4000,512128,0,0,0,0,0,1,1,0,0,0,0
3/1/18,132108.356,55.79166667,2/27/18,3/1/18,20000,1185395,0,1,1,1,1,0,0,0,0,0,1
3/2/18,103173.907,59.27083333,3/2/18,3/4/18,3000,52978,0,0,0,0,0,1,1,0,0,0,1
3/3/18,89481.888,55.79166667,3/2/18,3/4/18,3000,52978,0,0,0,0,0,1,1,0,0,0,1
3/4/18,73579.064,50.60416667,3/2/18,3/4/18,3000,52978,0,0,0,0,0,1,1,0,0,0,1
3/5/18,78738.598,50.52083333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/18,81328,53.75,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/18,91473.768,54.02083333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/18,90770.683,57,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9/18,106623.792,62.4375,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/18,113445.504,61.0625,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/18,149964.984,59.8125,3/11/18,3/14/18,46000,2184344,1,1,1,1,1,1,1,0,0,0,1
3/12/18,160044.097,62.72916667,3/11/18,3/14/18,46000,2184344,1,1,1,1,1,1,1,0,0,0,1
3/13/18,158325.394,66.58333333,3/11/18,3/14/18,46000,2184344,1,1,1,1,1,1,1,0,0,0,1
3/14/18,144860.826,63.47916667,3/11/18,3/14/18,46000,2184344,1,1,1,1,1,1,1,0,0,0,1
3/15/18,89950.978,55.27083333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/18,89448.983,56.72916667,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/18,90255.005,54.33333333,3/17/18,3/18/18,5000,53596,0,0,0,0,0,1,1,0,0,0,0
3/18/18,96940.629,54.77083333,3/17/18,3/18/18,5000,53596,0,0,0,0,0,1,1,0,0,0,0
3/19/18,103045.225,57.125,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20/18,126786.024,58.52083333,3/20/18,3/22/18,12000,486821,0,0,0,0,0,0,0,0,0,0,0
3/21/18,153435.24,65.27083333,3/20/18,3/22/18,12000,486821,0,0,0,0,0,0,0,0,0,0,0
3/21/18,153435.24,65.27083333,3/21/18,3/23/18,4500,512128,0,0,0,0,0,1,1,0,0,0,0
3/22/18,159836.126,63.47916667,3/20/18,3/22/18,12000,486821,0,0,0,0,0,0,0,0,0,0,0
3/22/18,159836.126,63.47916667,3/21/18,3/23/18,4500,512128,0,0,0,0,0,1,1,0,0,0,0
3/23/18,164135.038,64.60416667,3/21/18,3/23/18,4500,512128,0,0,0,0,0,1,1,0,0,0,0
3/23/18,164135.038,64.60416667,3/23/18,3/25/18,30000,1185395,0,1,1,1,1,0,0,0,0,0,1
3/24/18,147888.691,61.70833333,3/23/18,3/25/18,30000,1185395,0,1,1,1,1,0,0,0,0,0,1
3/25/18,137768.331,57.5,3/23/18,3/25/18,30000,1185395,0,1,1,1,1,0,0,0,0,0,1
3/26/18,117166.578,56.02083333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/27/18,125336.387,59.5625,3/27/18,3/28/18,39000,486821,0,0,0,0,0,1,1,0,0,0,0
3/28/18,124551.736,66.54166667,3/27/18,3/28/18,39000,486821,0,0,0,0,0,1,1,0,0,0,0
3/28/18,124551.736,66.54166667,3/28/18,3/29/18,6000,512128,0,0,0,0,0,1,1,0,0,0,0
3/29/18,107460.536,69.1875,3/28/18,3/29/18,6000,512128,0,0,0,0,0,1,1,0,0,0,0
3/30/18,85002.118,70.77083333,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/18,94208.931,74.5625,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/18,95016.231,75.6875,,,0,0,0,0,0,0,0,0,0,0,0,0,0
